Date and Hour,List of Locations from which rides started in the Date and Hour,Total Rides in the Date and Hour
"2021-03-29,18","['Franklin Square', 'Grove St at Gough St', 'Union Square (Powell St at Post St)', 'Octavia Blvd at Page St', 'Grove St at Divisadero', 'Otis St at Brady St', 'Howard St at 8th St', '7th Ave at Cabrillo St', 'Duboce Park', 'Broadway at Coronado Ave', '19th St at Mission St', 'Mission Dolores Park', '4th St at 16th St', 'Mechanics Monument Plaza (Market St at Bush St)', 'Parker St at Fulton St', 'Great Hwy at Balboa St', 'Division St at Potrero Ave', 'Grove St at Gough St', 'S Van Ness Ave at Market St', 'Channing Way at Shattuck Ave', 'Berry St at 4th St', 'Shattuck Ave at 55th St', 'Howard St at 8th St', 'Garfield Square (25th St at Harrison St)', 'Montgomery St BART Station (Market St at 2nd St)', 'Mission Bay Kids Park', 'Grand Ave at Perkins St', 'Octavia Blvd at Page St', 'Market St at Steuart St', 'Garfield Square (25th St at Harrison St)', '4th St at Mission Bay Blvd S', 'Cahill Park', 'Autumn Parkway at Coleman Ave', '7th Ave at Irving St', 'Commercial St at Montgomery St', 'Koshland Park', '13th St at Webster St', 'Division St at Potrero Ave', '2nd St at Folsom St', 'Glen Park BART Station', 'Salesforce Transit Center (Natoma St at 2nd St)', '19th Street BART Station', '19th St at Mission St', '17th St at Dolores St', '19th St at Mission St', 'Russell St at College Ave', 'Frank H Ogawa Plaza', '16th St Mission BART Station 2', 'Grand Ave at Webster St', '4th St at Mission Bay Blvd S', 'Tehama St at 1st St', 'Illinois St at Cesar Chavez St', 'Folsom St at 13th St', 'Market St at 10th St', 'Battery St at Filbert St', 'Bay St at Fillmore St', 'McAllister St at Baker St', '7th Ave at Cabrillo St', 'Terry Francois Blvd at Mission Bay Blvd N', 'Rockridge BART Station', 'Ellsworth St at Russell St', 'Fulton St at Bancroft Way', '19th St at Mission St', 'Union Square (Powell St at Post St)', 'Laguna St at Hayes St', 'Clay St at Battery St', 'Mission Playground', '4th St at Harrison St', 'Grove St at Gough St', '53rd St at Hollis St', 'Jersey St at Castro St', 'Fulton St at Bancroft Way', 'Mission Bay Kids Park', 'Carl St at Cole St', '4th St at 16th St', 'The Embarcadero at Steuart St', '7th Ave at Irving St', 'Mission Dolores Park', 'Almaden Blvd at San Fernando St', '4th St at Harrison St', 'Market St at Steuart St', '22nd St at Potrero Ave', 'Beale St at Harrison St', 'Greenwich St at Franklin St', '2nd Ave at E 18th St', '10th St at Empire St', 'Valencia St at 21st St', 'Madison St at 17th St', '7th Ave at Clement St', 'Page St at Scott St', 'Garfield Square (25th St at Harrison St)', 'Powell St BART Station (Market St at 5th St)', 'Powell St BART Station (Market St at 5th St)', 'Market St at Steuart St', 'Grove St at Gough St', '24th St at Bartlett St', '24th St at Bartlett St', 'Market St at Dolores St', 'Harrison St at 17th St', 'Mechanics Monument Plaza (Market St at Bush St)', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Cesar Chavez St at Dolores St', 'Powell St BART Station (Market St at 4th St)', 'Powell St BART Station (Market St at 4th St)', 'Evans Ave at Newhall St', '19th Street BART Station', 'Beale St at Harrison St', 'Chestnut St at Van Ness Ave', 'Folsom St at 13th St', 'Grove St at Gough St', 'Autumn Parkway at Coleman Ave', 'China Basin St at 3rd St', 'Fillmore St at Jefferson St', 'Powell St BART Station (Market St at 4th St)', 'Folsom St at 7th St', '17th & Folsom Street Park (17th St at Folsom St)', 'Funston Ave at Fulton St', '8th St at Brannan St', '17th & Folsom Street Park (17th St at Folsom St)', 'Davis St at Jackson St', 'Mission Bay Kids Park', 'Grove St at Divisadero', 'Central Ave at Fell St', 'The Embarcadero at Pier 38', 'Division St at Potrero Ave', '22nd St Caltrain Station', 'San Francisco Caltrain (Townsend St at 4th St)', '17th St at Dolores St', '17th St at Dolores St', 'McAllister St at Baker St', 'Frederick St at Arguello Blvd', 'Mission Bay Kids Park', 'San Francisco Caltrain Station (King St at 4th St)', 'The Alameda at Bush St', 'Post St at Kearny St', 'Post St at Kearny St', 'Market St at Dolores St', 'San Francisco Caltrain (Townsend St at 4th St)', 'Grove St at Gough St', 'Mission Dolores Park', '48th Ave at Cabrillo St', '22nd St Caltrain Station', '22nd St Caltrain Station', 'Scott St at Golden Gate Ave', 'McAllister St at Baker St', '22nd St at Potrero Ave', 'Post St at Webster St', '38th Ave at Balboa St', '20th St at Bryant St', '22nd St at Potrero Ave', 'Frederick St at Arguello Blvd', 'Beale St at Harrison St', 'Green St at Van Ness Ave', 'Powell St BART Station (Market St at 4th St)', 'Ninth St at Parker St', 'Mission Bay Kids Park', 'Mission Bay Kids Park', 'Steiner St at California St', 'Bryant St at 6th St', 'Berry St at King St', '4th St at Mission Bay Blvd S', 'Telegraph Ave at 19th St', 'Montgomery St BART Station (Market St at 2nd St)', '19th St at Florida St', '29th St at Church St', 'Haight St at Lyon St', '1st St at Folsom St', '1st St at Folsom St', 'Grove St at Gough St', 'Grove St at Gough St', '4th St at Harrison St', 'Mission Bay Kids Park', 'Mission Bay Kids Park', 'Cruise Terminal at Pier 27', '22nd St Caltrain Station', 'Shattuck Ave at 55th St', '53rd St at Hollis St', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Potrero del Sol Park (25th St at Utah St)', '2nd St at Townsend St', 'Clay St at Battery St', '16th St Mission BART Station 2', 'Montgomery St BART Station (Market St at 2nd St)', 'Ellsworth St at Russell St', 'Bestor Art Park', 'Harrison St at 20th St', 'Potrero del Sol Park (25th St at Utah St)', 'Potrero del Sol Park (25th St at Utah St)', 'Mechanics Monument Plaza (Market St at Bush St)', 'McCoppin St at Valencia St', 'Beale St at Harrison St', 'Townsend St at 5th St', '20th St at Dolores St', 'Union Square (Powell St at Post St)', 'Market St at Steuart St', 'Haight St at Lyon St', 'Pier 1/2 at The Embarcadero', 'Berry St at 4th St', 'Berry St at 4th St', 'Berry St at 4th St', 'Post St at Kearny St', 'Division St at Potrero Ave', 'Division St at Potrero Ave', 'Fillmore St at Jefferson St', 'Fillmore St at Jefferson St', 'S Van Ness Ave at Market St', 'Market St at 10th St', 'Market St at Dolores St', 'Paseo De San Antonio at 2nd St', 'Battery St at Filbert St', 'Jackson Playground', 'Dover St at 57th St', 'San Francisco Caltrain (Townsend St at 4th St)', 'Folsom St at 9th St', 'McCoppin St at Valencia St', '17th St at Dolores St', 'Berry St at King St', 'The Alameda at Bush St', 'McAllister St at Baker St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St']",224
"2021-03-29,19","['Frank H Ogawa Plaza', '30th St at San Jose Ave', 'Carl St at Cole St', 'Howard St at 2nd St', 'Broderick St at Oak St', 'Shattuck Ave at Hearst Ave', '45th St at Manila', 'Folsom St at 15th St', 'Grand Ave at Perkins St', 'S Van Ness Ave at Market St', 'Mission Bay Kids Park', 'Powell St at Columbus Ave', '7th Ave at Cabrillo St', 'Buchanan St at North Point St', 'Raymond Kimbell Playground', 'Sanchez St at 17th St', 'Commercial St at Montgomery St', 'Webster St at 19th St', '29th St at Tiffany Ave', 'Division St at Potrero Ave', 'Division St at Potrero Ave', 'Scott St at Golden Gate Ave', 'Folsom St at 5th St', 'Natoma St at New Montgomery St', '4th St at 16th St', 'Market St at Steuart St', 'Market St at Franklin St', '11th St at Bryant St', 'Fillmore St at Jefferson St', 'Post St at Webster St', 'Grand Ave at Perkins St', '23rd St at Tennessee St', 'Valencia St at Clinton Park', 'Milvia St at Derby St', 'Webster St at Clay St', '17th St at Valencia St', 'Frederick St at Arguello Blvd', 'Market St at 10th St', 'Bancroft Way at Telegraph Ave', 'Brannan St at 7th St', 'Shattuck Ave at Hearst Ave', 'Taylor St at 9th St', 'Folsom St at 7th St', 'Spear St at Folsom St', '16th St at Prosper St', 'The Embarcadero at Pier 38', '32nd St at Adeline St', 'Cruise Terminal at Pier 27', 'Alamo Square (Steiner St at Fulton St)', 'Valencia St at Clinton Park', 'Valencia St at Clinton Park', 'Division St at Potrero Ave', 'Telegraph Ave at Carleton St', 'Beale St at Harrison St', 'Milvia St at Derby St', 'Milvia St at Derby St', 'Alameda St at Henry Adams St', 'Haight St at Lyon St', 'Haight St at Lyon St', 'Powell St BART Station (Market St at 5th St)', 'Montgomery St BART Station (Market St at 2nd St)', 'Berry St at 4th St', 'Market St at Franklin St', 'Powell St at Bay St', 'Hyde St at Post St', 'Market St at Dolores St', 'Powell St at Columbus Ave', 'Market St at 10th St', 'Division St at Potrero Ave', 'Garfield Square (25th St at Harrison St)', 'Autumn Parkway at Coleman Ave', '24th St at Market St', 'Franklin St at 9th St', '24th St at Market St', '10th St at University Ave', 'The Embarcadero at Pier 38', 'The Embarcadero at Pier 38', '32nd St at Adeline St', 'Jackson St at Polk St', 'Civic Center/UN Plaza BART Station (Market St at McAllister St)', 'Mississippi St at 17th St', 'Valencia St at 16th St', 'Townsend St at 5th St', '7th Ave at Cabrillo St', 'Sanchez St at 17th St', 'Jersey St at Church St', 'Valencia St at Cesar Chavez St', 'Fell St at Stanyan St', '8th St at Brannan St', 'Jackson Playground', 'Powell St BART Station (Market St at 4th St)', '18th Ave at California St', 'Jackson Playground', '18th Ave at California St', 'Potrero Ave at Mariposa St', 'San Francisco Caltrain Station (King St at 4th St)', 'Haste St at Telegraph Ave', 'Bancroft Way at Telegraph Ave', '7th Ave at Clement St', 'Tehama St at 1st St', 'College Ave at Alcatraz Ave', '23rd St at Tennessee St', '4th St at Mission Bay Blvd S', 'Division St at Potrero Ave', 'Division St at Potrero Ave', 'Powell St BART Station (Market St at 5th St)', 'Hubbell St at 16th St', 'Mississippi St at 17th St', '1st St at Folsom St', 'Buchanan St at North Point St', 'Division St at Potrero Ave', '4th St at 16th St', '19th St at Mission St', '11th St at Natoma St', 'Division St at Potrero Ave', 'Russell St at College Ave', 'Front St at California St', 'Carl St at Cole St', 'Haight St at Lyon St', 'Scott St at Golden Gate Ave', ""O'Farrell St at Divisadero St"", '1st St at Folsom St', '18th St at Noe St', 'San Francisco Caltrain Station (King St at 4th St)', 'Victoria Manalo Draves Park', ""St. Joseph's Ave at Geary Blvd"", '4th St at Mission Bay Blvd S', 'Mechanics Monument Plaza (Market St at Bush St)', 'Powell St BART Station (Market St at 4th St)', 'Washington St at Kearny St', 'Market St at Dolores St', 'Shattuck Ave at Hearst Ave', 'Bestor Art Park', '48th Ave at Cabrillo St', 'Howard St at Beale St', 'Channing Way at San Pablo Ave', 'Valencia St at Clinton Park', 'Division St at Potrero Ave', 'Golden Gate Ave at Polk St', '1st St at Folsom St', 'The Embarcadero at Bryant St', '3rd St at Townsend St', 'Jones St at Post St', 'Jones St at Post St', '17th & Folsom Street Park (17th St at Folsom St)', 'Battery St at Filbert St', 'Brannan St at 4th St', '11th St at Natoma St', 'Montgomery St BART Station (Market St at 2nd St)', 'Howard St at Beale St', '11th St at Bryant St', 'Cyril Magnin St at Ellis St', 'Shattuck Ave at Hearst Ave', 'Grand Ave at Perkins St', 'San Francisco Ferry Building (Harry Bridges Plaza)', 'Cruise Terminal at Pier 27', ""Webster St at O'Farrell St"", 'Grove St at Masonic Ave', 'Funston Ave at Irving St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St', 'Divisadero St at Clay St', 'Rhode Island St at 17th St']",163
"2021-03-29,20","['Duboce Park', 'Marston Campbell Park', 'Octavia Blvd at Page St', 'Broderick St at Oak St', 'Valencia St at 16th St', '10th Ave at Irving St', 'Sanchez St at 15th St', 'Montgomery St BART Station (Market St at 2nd St)', 'Duboce Park', '22nd St Caltrain Station', 'Mission Dolores Park', 'Dolores St at 15th St', 'Esprit Park', 'Greenwich St at Webster St', 'Ninth St at Heinz Ave', 'Frederick St at Arguello Blvd', 'Sanchez St at 15th St', ""Webster St at O'Farrell St"", 'Grove St at Gough St', 'Laguna St at Hayes St', 'Broderick St at Oak St', 'Octavia Blvd at Page St', 'North Point St at Polk St', 'North Point St at Polk St', 'Battery St at Filbert St', 'Mechanics Monument Plaza (Market St at Bush St)', 'Mission Playground', 'The Embarcadero at Bryant St', '10th Ave at Irving St', 'Folsom St at 5th St', 'Powell St BART Station (Market St at 4th St)', 'Mission Bay Kids Park', 'Market St at 10th St', 'Mission Bay Kids Park', 'Mission Bay Kids Park', 'Church St at Duboce Ave', 'Frederick St at Arguello Blvd', 'Sanchez St at 15th St', '23rd St at Tennessee St', 'Market St at Dolores St', 'Market St at Franklin St', 'Father Alfred E Boeddeker Park', 'Greenwich St at Webster St', 'Powell St at Bay St', '22nd St Caltrain Station', '14th St at Mission St', 'Division St at Potrero Ave', '18th St at Noe St', 'Bestor Art Park', 'Frederick St at Arguello Blvd', '5th Ave at Anza St', '5th Ave at Anza St', 'Market St at Dolores St', 'Jackson St at Polk St', '4th St at Mission Bay Blvd S', 'Alamo Square (Steiner St at Fulton St)', 'Grove St at Gough St', 'Oregon St at Adeline St', 'Webster St at Clay St', '29th St at Church St', '10th Ave at Irving St', 'Post St at Kearny St', 'Valencia St at 24th St', 'Market St at 10th St', 'Valencia St at Clinton Park', 'Howard St at 8th St', '22nd St at Potrero Ave', 'Laguna St at Hayes St', 'Laguna St at Hayes St', '4th St at 16th St', '10th Ave at Irving St', 'Sanchez St at 15th St', 'Hubbell St at 16th St', '4th St at 16th St', ""O'Farrell St at Divisadero St"", '5th Ave at Anza St', '5th Ave at Anza St', 'Fell St at Stanyan St', '15th St at Potrero Ave', 'San Francisco City Hall (Polk St at Grove St)', ""O'Farrell St at Masonic Ave"", 'Hyde St at Post St', 'Grove St at Masonic Ave', '16th St at Prosper St', 'Powell St at Columbus Ave', 'Valencia St at Cesar Chavez St', 'Davis St at Jackson St', 'Empire St at 1st St', 'Mission Dolores Park', 'Lakeshore Ave at Trestle Glen Rd', 'Berry St at King St', 'San Francisco Public Library (Grove St at Hyde St)', 'Market St at 10th St', 'Cruise Terminal at Pier 27', '2nd St at Townsend St', 'Cyril Magnin St at Ellis St', 'Grove St at Masonic Ave', 'Jackson St at Polk St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St', 'Rhode Island St at 17th St', 'London St at Geneva Ave']",102
"2021-03-29,21","['17th & Folsom Street Park (17th St at Folsom St)', 'Golden Gate Ave at Polk St', 'Mint St at Mission St', 'The Embarcadero at Bryant St', 'Powell St BART Station (Market St at 5th St)', '22nd St Caltrain Station', '22nd St Caltrain Station', '34th St at Telegraph Ave', '8th St at Ringold St', 'Snow Park', 'Snow Park', 'Broadway at Kearny St', '8th St at Ringold St', 'Father Alfred E Boeddeker Park', 'Myrtle St at Polk St', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Harrison St at 17th St', 'S Park St at 3rd St', 'Embarcadero BART Station (Beale St at Market St)', 'Mission Playground', 'McAllister St at Arguello Blvd', 'Powell St BART Station (Market St at 5th St)', 'Laguna St at Hayes St', 'Yerba Buena Center for the Arts (Howard St at 3rd St)', '17th St at Valencia St', 'Cahill Park', 'McCoppin St at Valencia St', '8th St at Ringold St', '4th St at 16th St', 'Powell St BART Station (Market St at 4th St)', 'Sanchez St at 15th St', '17th St at Valencia St', 'Montgomery St BART Station (Market St at 2nd St)', 'Parker St at Fulton St', 'Valencia St at Cesar Chavez St', 'Telegraph Ave at Ashby Ave', 'Valencia St at Cesar Chavez St', 'Division St at Potrero Ave', 'Jackson St at Polk St', 'Folsom St at 7th St', ""O'Farrell St at Masonic Ave"", 'Beale St at Harrison St', 'Valencia St at 24th St', 'Union Square (Powell St at Post St)', 'Raymond Kimbell Playground', 'Hubbell St at 16th St', 'Pier 1/2 at The Embarcadero', 'Hyde St at Post St', 'Market St at Franklin St', 'Market St at 10th St', 'Hyde St at Post St', 'Market St at 10th St', 'Terry Francois Blvd at Mission Bay Blvd N', 'Powell St BART Station (Market St at 5th St)', 'Santa Clara St at 7th St', 'Post St at Kearny St', 'Lakeside Dr at 14th St']",57
"2021-03-29,22","['The Embarcadero at Pier 38', 'Brannan St at 4th St', '24th St at Chattanooga St', 'Mission Playground', 'Howard St at 2nd St', 'Beale St at Harrison St', 'Grand Ave at Perkins St', ""O'Farrell St at Divisadero St"", 'Bryant St at 15th St', ""O'Farrell St at Masonic Ave"", '4th St at Harrison St', 'Ninth St at Heinz Ave', 'Valencia St at 16th St', 'Market St at 10th St', 'Folsom St at 15th St', 'Hyde St at Post St', 'Folsom St at 15th St', 'Spruce St at California St', 'Valencia St at Cesar Chavez St', 'Jones St at Post St', 'Isabella St at San Pablo Ave', 'El Embarcadero at Grand Ave', 'Salesforce Transit Center (Natoma St at 2nd St)', '10th Ave at Irving St', 'San Francisco Public Library (Grove St at Hyde St)', 'El Embarcadero at Grand Ave', 'Fern St at Polk St', 'Market St at Dolores St', 'Post St at Kearny St']",29
"2021-03-29,23","['Octavia Blvd at Page St', 'The Embarcadero at Vallejo St', 'Stanyan St at Geary Blvd', '2nd St at Folsom St', 'Davis St at Jackson St', 'Laguna St at Hayes St', 'Broderick St at Oak St', 'Golden Gate Ave at Polk St', 'Arguello Blvd at Geary Blvd', 'Post St at Kearny St', 'Folsom St at 15th St', 'Indiana St at Cesar Chavez St', 'Funston Ave at Fulton St', 'Funston Ave at Fulton St', 'Funston Ave at Fulton St', 'Funston Ave at Fulton St', 'Valencia St at 22nd St', 'Golden Gate Ave at Polk St', '20th St at Bryant St', 'Telegraph Ave at Carleton St']",20
"2021-03-30,00","['Greenwich St at Franklin St', 'Post St at Kearny St', 'Howard St at 8th St', 'Union Square (Powell St at Post St)', 'Folsom St at 13th St']",5
"2021-03-30,01","['Bancroft Way at Telegraph Ave', 'Julian St at The Alameda', 'Post St at Kearny St', '1st St at Folsom St', 'Cruise Terminal at Pier 27', 'Union Square (Powell St at Post St)', 'Broadway at Battery St']",7
"2021-03-30,02","['Jones St at Post St', 'Valencia St at 16th St']",2
"2021-03-30,03","['Market St at 10th St', 'Golden Gate Ave at Polk St', 'Vine St at Shattuck Ave', 'Yerba Buena Center for the Arts (Howard St at 3rd St)', 'Valencia St at 24th St']",5
"2021-03-30,04","['Ellsworth St at Russell St', 'Sanchez St at 15th St', 'Hyde St at Post St', 'Union Square (Powell St at Post St)']",4
"2021-03-30,05","['Powell St at Columbus Ave', 'Precita Park', '30th St at San Jose Ave', 'Market St at Dolores St', 'S Van Ness Ave at Market St', 'Market St at Dolores St', 'Frederick St at Arguello Blvd', 'Market St at Dolores St', '34th St at Telegraph Ave', '11th St at Bryant St', 'Washington St at Kearny St', 'Post St at Webster St', 'Powell St BART Station (Market St at 4th St)', 'Post St at Kearny St', '3rd St at Townsend St', 'Powell St at Columbus Ave', 'Frederick St at Arguello Blvd', 'Division St at Potrero Ave', 'Victoria Manalo Draves Park', 'Webster St at Clay St', '55th St at Telegraph Ave']",21
"2021-03-30,06","['2nd St at Folsom St', '8th St at Ringold St', '8th St at Ringold St', 'The Embarcadero at Pier 38', 'Garfield Square (25th St at Harrison St)', 'Miles Ave at Cavour St', 'Precita Park', 'Utah St at 24th St', 'Folsom St at 5th St', 'Division St at Potrero Ave', 'Duboce Park', 'Laurel St at California St', 'Fillmore St at Jefferson St', 'Post St at Baker St', 'Father Alfred E Boeddeker Park', 'Pier 1/2 at The Embarcadero', 'Grove St at Masonic Ave', 'Raymond Kimbell Playground', 'Howard St at 8th St', 'MacArthur BART Station', '5th Ave at Anza St', 'Cesar Chavez St at Dolores St', '16th St at Prosper St', 'Valencia St at Cesar Chavez St', '2nd St at Townsend St', '16th St at Prosper St', 'Telegraph Ave at Carleton St', 'Golden Gate Ave at Franklin St', 'Folsom St at 13th St', 'Dolores St at 15th St', 'Pierce St at Haight St', 'Potrero Ave at Mariposa St', 'Sanchez St at 15th St', '10th Ave at Irving St', 'Berry St at 4th St', 'Grove St at Divisadero', 'Berry St at 4th St', 'Franklin St at 9th St', 'Victoria Manalo Draves Park', '16th St Mission BART Station 2', 'Green St at Van Ness Ave', 'Shattuck Ave at 55th St', 'San Francisco Caltrain (Townsend St at 4th St)', 'Bryant St at 2nd St', '19th St at Mission St', '16th St at Prosper St', 'Folsom St at 7th St', 'Harrison St at 20th St', 'The Embarcadero at Sansome St']",49
"2021-03-30,07","['Anza St at Collins St', '10th St at Fallon St', 'Franklin Square', 'Union Square (Powell St at Post St)', 'Division St at Potrero Ave', 'College Ave at Bryant Ave', 'Powell St at Columbus Ave', '19th St at Florida St', '19th St at Mission St', '8th St at Brannan St', 'Sanchez St at 15th St', 'Valencia St at 24th St', 'E Virginia St at S 2nd St', 'San Carlos St at Meridian Ave', 'Haight St at Lyon St', 'E Virginia St at S 2nd St', '16th St Mission BART Station 2', '5th Ave at Anza St', 'Locust St at Grant St', 'Harrison St at 20th St', 'Octavia Blvd at Page St', 'Howard St at 8th St', '10th Ave at Irving St', 'Post St at Webster St', 'Victoria Manalo Draves Park', '2nd St at Folsom St', 'Mission Bay Kids Park', '7th Ave at Cabrillo St', 'Jackson St at Polk St', '27th St at MLK Jr Way', '7th Ave at Clement St', 'MacArthur BART Station', 'Scott St at Golden Gate Ave', 'Bay St at Fillmore St', 'Grove St at Divisadero', 'Father Alfred E Boeddeker Park', 'Chestnut St at Van Ness Ave', 'Market St at Steuart St', 'Market St at Steuart St', 'Market St at Dolores St', 'Division St at Potrero Ave', 'Raymond Kimbell Playground', 'Turk St at Fillmore St', 'Fern St at Polk St', 'Scott St at Golden Gate Ave', 'Powell St at Columbus Ave', 'Esprit Park', 'Tehama St at 1st St', 'Jones St at Post St', 'E Virginia St at S 2nd St', '2nd St at Folsom St', 'China Basin St at 3rd St', 'China Basin St at 3rd St', 'Haight St at Lyon St', 'Valencia St at 16th St', 'Green St at Van Ness Ave', '22nd St at Dolores St', 'Haste St at Telegraph Ave', 'Tehama St at 1st St', 'Terry Francois Blvd at Mission Bay Blvd N', '17th & Folsom Street Park (17th St at Folsom St)', 'Montgomery St BART Station (Market St at 2nd St)', 'Grove St at Masonic Ave', 'Mississippi St at 17th St', 'Esprit Park', 'Buchanan St at North Point St', '4th St at 16th St', '7th Ave at Clement St', 'Octavia Blvd at Page St', 'Valencia St at Clinton Park', 'Fell St at Stanyan St', '14th St at Mandela Pkwy', '16th St at Prosper St', 'Potrero Ave at Mariposa St', 'Terry Francois Blvd at Mission Bay Blvd N', 'Union Square (Powell St at Post St)', 'Jackson Playground', 'Jackson St at Polk St', 'Jackson St at Polk St', '17th St at Dolores St', 'Bryant St at 15th St', 'Berry St at King St', 'Brannan St at 4th St', '4th St at 16th St', '4th St at 16th St', '16th St at Prosper St', '29th St at Church St', 'Embarcadero BART Station (Beale St at Market St)', 'Market St at Steuart St', 'Folsom St at 5th St', 'Market St at Steuart St', '22nd St Caltrain Station', 'Jersey St at Castro St', '1st St at Folsom St', 'Market St at 10th St', 'Pierce St at Haight St', 'Mosswood Park', '19th Street BART Station', 'Father Alfred E Boeddeker Park', 'Haight St at Lyon St', 'Funston Ave at Fulton St', 'Brannan St at 4th St', 'Eureka Valley Recreation Center', 'Powell St at Columbus Ave', 'Market St at 10th St', 'Koshland Park', 'Post St at Divisadero St', 'Jersey St at Castro St', 'Market St at 10th St', 'Townsend St at 7th St', 'Cesar Chavez St at Dolores St', 'Broderick St at Oak St', '22nd St Caltrain Station', 'Haight St at Lyon St', 'Koshland Park', 'Pier 1/2 at The Embarcadero', 'Market St at 10th St', '2nd St at Townsend St', 'Hubbell St at 16th St', 'Valencia St at Clinton Park', '19th St at Mission St', 'Civic Center/UN Plaza BART Station (Market St at McAllister St)', 'Brannan St at Colin P Kelly Jr St', 'Berry St at King St', 'Grove St at Divisadero', 'Spear St at Folsom St', 'Greenwich St at Franklin St', 'Rhode Island St at 17th St']",128
